run,steps,xyz_end_mm,rot_2nd_diff_deg,rot_vel_deg_s,rot_vel_deg_s_lo,rot_vel_deg_s_hi,rot_accel_deg_s2,rot_accel_deg_s2_lo,rot_accel_deg_s2_hi,rot_jerk_deg_s3,rot_jerk_deg_s3_lo,rot_jerk_deg_s3_hi,xyz_vel_mm_s,xyz_vel_mm_s_lo,xyz_vel_mm_s_hi,xyz_accel_mm_s2,xyz_accel_mm_s2_lo,xyz_accel_mm_s2_hi,xyz_jerk_mm_s3,xyz_jerk_mm_s3_lo,xyz_jerk_mm_s3_hi,gt_rot_vel_deg_s,gt_rot_accel_deg_s2,gt_rot_jerk_deg_s3,gt_xyz_vel_mm_s,gt_xyz_accel_mm_s2,gt_xyz_jerk_mm_s3
act_umi_identity_rot6d_1459_1900000steps,1900000,12.132,0.0514,6.101,5.853,6.349,28.61,27.15,30.12,683.5,645.4,722.9,56.99,54.96,59.04,234.75,227.93,241.61,4830.03,4647.88,5020.59,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_2000000steps,2000000,11.981,0.0532,6.020,5.775,6.259,28.98,27.44,30.53,676.4,637.3,716.1,57.10,54.94,59.29,234.11,226.50,241.57,4585.41,4404.32,4774.06,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_2100000steps,2100000,12.119,0.0548,6.132,5.871,6.396,29.80,28.28,31.38,760.7,722.1,801.3,59.59,57.29,61.86,259.96,251.66,268.80,5902.36,5671.77,6162.70,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_2200000steps,2200000,11.960,0.0553,6.044,5.797,6.290,30.49,28.89,32.18,786.1,738.9,836.2,57.48,55.30,59.65,246.16,238.69,253.59,5163.25,4968.24,5359.92,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_2300000steps,2300000,11.984,0.0538,5.859,5.626,6.091,29.26,27.72,30.86,746.3,703.8,791.7,57.01,54.91,59.14,236.45,229.75,243.12,5068.20,4909.67,5227.35,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_2400000steps,2400000,12.061,0.0555,5.876,5.627,6.130,29.75,28.14,31.41,763.1,719.8,808.2,57.74,55.68,59.78,239.65,232.46,246.81,5210.74,5032.26,5401.45,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_2500000steps,2500000,12.080,0.0574,6.078,5.830,6.331,30.46,28.84,32.09,826.3,782.5,871.4,56.01,53.88,58.15,240.08,233.06,247.10,5915.04,5708.34,6130.97,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_2600000steps,2600000,11.954,0.0596,6.063,5.815,6.311,32.44,30.75,34.19,863.9,814.6,915.6,57.60,55.47,59.72,250.35,242.21,258.49,5457.60,5247.41,5681.56,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_2700000steps,2700000,11.980,0.0584,6.053,5.814,6.291,31.42,29.89,32.98,833.3,788.8,878.0,57.29,55.22,59.38,242.22,234.90,249.57,4987.69,4801.72,5178.85,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_2800000steps,2800000,12.047,0.0592,6.157,5.914,6.407,31.36,29.73,33.12,824.3,773.1,878.8,56.72,54.69,58.77,243.61,236.69,250.49,5009.75,4820.01,5211.33,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_2900000steps,2900000,11.939,0.0614,6.134,5.895,6.377,32.24,30.59,34.00,847.8,796.3,902.8,57.63,55.56,59.70,242.13,234.83,249.37,5286.39,5085.24,5494.90,8.252,65.95,2793.0,73.45,627.72,29521.30
